region,decade,id,cat_id,DNA_tissue,leaf_tissue,sampled?,extracted?,lab_id,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,successful?,institutionCode,catalogNumber,year,county,locality,decimalLatitude,decimalLongitude,notes,extr_tissue
VALY,1940s,1368036,DAV310432,"2 axiallary bud, 2 little leaf, 1 bud cluster","yes, cauline w/ intermediate morphology",y,y-N,26_051,33.9,134.5,2.02,2.71,,,,1941,,,,,,
VALY,1940s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1940s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1940s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1940s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1950s,1367980,DAV310436,"1 terminal  multi-bud cluster, 1 axilary, one terminal bud cluster","yes, cauline with basal morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1951,,,,,,
VALY,1950s,3498289,JEPS8424,"2 axiallary buds, 2 apical bud clusters","yes, cauline with basal morphology",y,y-N,25_172,14.7,41.8,1.88,1.71,y,,,1951,,,,,,
VALY,1950s,2324050,74181,1 terminal bud cluster,"yes, basal",y,y-N,26_057,0.532,10.2,2.1,-1.89,,,,1954,,,,,,
VALY,1950s,1028268,RSA0191162,3 axillary buds,"yes, basal",,,,,,,,,,,1953,,,,,,
VALY,1950s,2358623,74178,"2 axiallary bud, 1 terminal bud","yes, basal",y,y-N,26_081,21.9,54.7,1.88,2.31,y,,,1953,,,,,,
VALY,1950s,6536555,SACT012146,2 axillary buds,no,,,,,,,,,,,1953,,,,,,
VALY,1950s,6536769,SACT012150,2 axillary buds,"yes, basal",,,,,,,,,,,1953,,,,,,
VALY,1950s,6536629,SACT012141,2ish terminal buds,no,,,,,,,,,,,1954,,,,,,
VALY,,1224569,RSA0191230,4 axillary buds,"yes, cauline with intermediate morphology",,,,,,,,,,,1958,,,,,,
VALY,,652363,RSA0191237,"3 axillary buds, 1 terminal bud cluster","yes, basal",,,,,,,,,,,1959,,,,,,
VALY,1950s,4745859,77913,"3 axillary bud, 1 large bud","yes, basal",y,y-N,26_059,182,345.6,2,2.52,,,,1959,,,,,,
VALY,1960s,3414522,JEPS45441,"3 axiallary buds, little leaf","yes, basal",y,y-N,25_185,17.8,41.6,1.93,2.01,y,,,1961,,,,,,
