id,catalogNumber,institutionCode,specificEpithet,year,month,county,decimalLatitude,decimalLongitude,selected,nearest_id,nearest_km,cohort,sampled,nearest_sampled
469159,SD00062578,SD,sativus,2015,5,San Diego,33.327,-117.26643,y,468987,5.203001222,new,n,y
469179,SD00058219,SD,sativus,2015,3,San Diego,33.3393,-117.2499,y,468987,6.798213516,new,n,y
469070,SD00062646,SD,sativus,2005,4,San Diego,32.77194,-116.79722,y,468990,9.582838183,new,n,y
469094,SD00062586,SD,sativus,2006,4,San Diego,32.6889,-116.7764,y,468990,9.856422031,new,n,y
469149,SD00062555,SD,raphanistrum,2003,5,San Diego,32.57278,-116.75778,y,468990,19.46969231,new,n,y
469092,SD00062719,SD,sativus,2006,6,San Diego,32.8396,-117.0424,y,468991,8.649743359,new,n,y
469064,SD00060503,SD,sativus,2005,3,San Diego,32.8022,-117.1331,y,468992,3.041036315,new,n,y
469043,SD00062761,SD,sativus,2005,2,San Diego,32.7439,-117.1533,y,468992,3.95675431,new,n,y
469042,SD00062762,SD,sativus,2005,2,San Diego,32.7544,-117.1831,y,468992,5.280804832,new,n,y
469156,SD00062769,SD,sativus,2012,6,San Diego,32.77386,-117.1917,y,468992,5.578343062,new,n,y
469116,SD00062730,SD,sativus,2007,7,San Diego,32.7748,-117.1939,y,468992,5.783478114,new,n,y
469075,SD00062644,SD,sativus,2005,3,San Diego,33.1635,-117.0936,y,3499442,5.234504475,new,n,y
469144,SD00062649,SD,sativus,2012,6,San Diego,33.16905,-117.0477,y,3499442,5.556172982,new,n,y
