"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
99,"2763913",2763913,"CAS","532999","532999","2015",2763913,"CAS","Mount Tamalpais. Marin Municipal Water District lands: NE section of Nicasio Reservoir, S from eastern parking area off Point Reyes-Petaluma Rd",,"38.09132° N, 122.73528° W",38.09132,-122.73528,"Marin County",,"2 axillary buds, 1 terminal bud cluster","yes, basal","extra leaf tissue"
104,"2397709",2397709,"CAS","74201","74201","1969",2397709,"CAS","Sequoia National Park. 0.25 mile from Junction of Willow and Copper avenues.",,,,,"Fresno County",,"2 axillary buds, 1 little leaf","yes, basal ",
105,"5504859",5504859,"CAS","684497","684497","1969",5504859,"CAS","Walpert Ridge",,,,,"Alameda County",,"3 axillary buds","yes, basal ",
107,"2322844",2322844,"CAS","74182","74182","1977",2322844,"CAS","Along Carson Road, northeast of Placerville.",,,,,"El Dorado County",,"3 axiallary buds, loose flower buds","yes, basal ","potentially two individuals, glue on leaf tissue  "
108,"2355178",2355178,"CAS","74292","74292","1978",2355178,"CAS","Highway 128 at intersection with Highway 1, along Navarro River.",,,,,"Mendocino County",,"3 axillary buds, 1 terminal bud cluster","yes, basal ",
109,"5504844",5504844,"CAS","684481","684481","1969",5504844,"CAS","Marshall Petaluma",,,,,"Marin County",,"4 axillary buds","yes, basal  ","extra DNA tissue, extra leaf tissue"
111,"2370292",2370292,"CAS","74202","74202","1954",2370292,"CAS","Sierra Nevada. Mono Hot Springs.",,,,,"Fresno County",,"2 axillary buds, 1 little leaf","yes, basal morphology ",
112,"2393985",2393985,"CAS","74296","74296","1903",2393985,"CAS","Kaisen District.",,,,,"Mendocino County",,"2 terminal bud clusters","yes, basal morphology (unknown, from leaf packet)","extra leaf tissue, yes, basal morphology (unknown leaf tissue from leaf packet)"
113,"2446662",2446662,"CAS","74295","74295","1903",2446662,"CAS","Kaisen District.",,,,,"Mendocino County",,"1 terminal bud cluster","yes, basal morphology (unknown, from leaf packet)",
115,"2463835",2463835,"CAS","74205","74205","1930",2463835,"CAS","Santa Cruz Island. Smuggler's Cove.",,,,,"Santa Barbara County",,"2 axillary buds, 1 terminal bud cluster, a few loose buds","yes, cauline","island - collected "
116,"2391912",2391912,"CAS","74211","74211","1964",2391912,"CAS","At White Wolf Lodge Dump, Yosemite National Park.",,,,,"Tuolumne County",,"2 axillary buds, 2 terminal buds","yes, cauline",
119,"2287409",2287409,"CAS","74310","74310","1982",2287409,"CAS","Santa Lucia Mountains. Gamboa Point Section. Landels-Hill Big Creek Reserve. Along the caretaker's driveway near Hwy 1.",,,,,"Monterey County",,"1 axillary bud, 1 terminal bud cluster","yes, cauline",
120,"2369931",2369931,"CAS","74273","74273","1958",2369931,"CAS","Temblor Range and the Western San Joaquin Valley. Antelope Ranch grounds, western Kern county.",,,,,"Kern County",,"2 terminal bud cluster","yes, cauline ",
121,,,"CAS","74342","74342","1897",2358923,"CAS","Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",,,,,"Santa Clara County",,"2 axillary bud, 1 terminal bud","yes, cauline w/ intermediate morphology",
125,"2360184",2360184,"CAS","74357","74357","1953",2360184,"CAS","About 0.5 mile inland from Sea Cliff Beach State Park which is between Santa Cruz and Watsonville.",,"37°58'15""N, 121°53'30""W",37.9708333333,-121.8916666667,"Santa Cruz County",,"2 terminal bud cluster","yes, cauline w/ intermediate morphology",
129,"2391489",2391489,"CAS","74332","74332","1956",2391489,"CAS","Santa Lucia Mountains. Santa Rosa Creek.",,,,,"San Luis Obispo County",,"1 axillary bud","yes, cauline w/ intermediate morphology",
130,"2300993",2300993,"CAS","74325","74325","1957",2300993,"CAS","San Francisco. Russian Hill, north slope.",,,,,"San Francisco County",,"2 axiallary bud, 1 terminal bud","yes, cauline w/ intermediate morphology",
131,"2420423",2420423,"CAS","74322","74322","1957",2420423,"CAS","San Francisco. Bayview Hills.",,,,,"San Francisco County",,"2 axillary buds, 2 little leaves","yes, cauline w/ intermediate morphology",
133,"2298121",2298121,"CAS","74191","74191","1961",2298121,"CAS","Indian Springs.",,,,,"Nevada County",,"2 terminal bud cluster, 2 axillary bud, 1 little leaf","yes, cauline w/ intermediate morphology",
135,"5569855",5569855,"CAS","685183","685183","1966",5569855,"CAS","Highway 1, Half Moon Bay",,,,,"San Mateo County",,"4 axiallary buds","yes, cauline w/ intermediate morphology","one bud cluster with shiny glue! Avoid"
136,"2452819",2452819,"CAS","74300","74300","1970",2452819,"CAS","Salinas River, ca. 1 mile above its mouth.",,,,,"Monterey County",,"1 large terminal bud cluster, 1 axially bud","yes, cauline w/ intermediate morphology","unsampled duplicate if extraction fails (74299)"
137,,,"CAS","685179","685179","1972",,,,,,,,,,"1 large axillary bud, 2 little leaf ","yes, cauline w/ intermediate morphology",
142,"2771954",2771954,"CAS","550563","550563","1937",2771954,"CAS","S.P. Yards, San Joaquin Valley watershed",,,,,"Kern County",,"4 terminal bud clusters","yes, cauline with basal morphology","badly dried, likely bad DNA"
144,"2270810",2270810,"CAS","74353","74353","1950",2270810,"CAS","Davenport Landing.",,"37°01.5'N, 122°13'W",37.025,-122.2166666667,"Santa Cruz County",,"1 large axillary bud, 1 terminal bud cluster","yes, cauline with basal morphology","2 unsampled duplicates: 0074355, 74354"
145,"2393459",2393459,"CAS","74206","74206","1958",2393459,"CAS","Area of Devereaux Dunes, Goleta.",,,,,"Santa Barbara County",,"2 terminal bud cluster, 2 axillary bud","yes, cauline with basal morphology","likely glue on tissue"
149,"5504875",5504875,"CAS","684514","684514","1964",5504875,"CAS","Tennyson Road, Hayward",,,,,"Alameda County",,"4 axillary buds","yes, cauline with basal morphology",
150,"2359565",2359565,"CAS","74193","74193","1966",2359565,"CAS","Sierra Nevada. Willow Valley on Upper Castle Creek, 0.3 mile north of Highway 80 and 1.5 mile north of Norden.",,,,,"Nevada County",,"2 terminal bud cluster, 2 axillary bud","yes, cauline with basal morphology",
151,"5504871",5504871,"CAS","684510","684510","1966",5504871,"CAS","Castro Valley, 5 miles from Cal State College",,,,,"Alameda County",,"4 axillary buds","yes, cauline with basal morphology",
154,"2272859",2272859,"CAS","74258","74258","1969",2272859,"CAS","Niles Canyon and vicinity. East end of sand bag levee.",,,,,"Alameda County",,"3 axillary buds, 1 terminal bud cluster, 1 little leaf","yes, cauline with basal morphology","map of collection location "
155,"2406880",2406880,"CAS","74339","74339","1973",2406880,"CAS","Bolsa Point, about 1 mile north of Pigeon Point and about 39 miles south of San Francisco.",,,,,"San Mateo County",,"1 axillary bud, 1 terminal bud cluster","yes, cauline with basal morphology","extra leaf tissue"
157,"2355610",2355610,"CAS","74204","74204","1990",2355610,"CAS","Santa Cruz Island. Prisoners' Harbor. On north side of magazine building.",,,,,"Santa Barbara County",,"2 axillary buds, 1 terminal bud cluster","yes, cauline with basal morphology",
